,jspsychID,trial_num,stimulus,time_elapse,causal_rating,cause_rt,animacy_rating,anim_rt,trial_rt,time_elapse.1,subject_id,vid_num,ball A,outcome,cf
123,26g5jp57pvqxkau,28,06_a_in_out.mp4,744686.0,100,5115.89999999851,54,8767.30000000447,9065.60000000149,744686.0,9,6,animate,in,out
124,26g5jp57pvqxkau,29,01_a_in_out.mp4,754165.0,41,5706.4000000059605,79,8620.90000000596,8975.0,754165.0,9,1,animate,in,out
125,26g5jp57pvqxkau,30,02_p_in_out.mp4,814889.0,1,3369.0,71,4540.29999999702,60470.39999999851,814889.0,9,2,inanimate,in,out
126,26g5jp57pvqxkau,31,17_p_out_out.mp4,822989.0,1,3914.89999999851,1,5838.20000000298,7347.5,822989.0,9,17,inanimate,out,out
127,26g5jp57pvqxkau,32,22_p_out_in.mp4,832390.0,77,5942.89999999851,20,8410.20000000298,8898.30000000447,832390.0,9,22,inanimate,out,in
128,26g5jp57pvqxkau,33,09_a_in_in.mp4,842836.0,34,5904.79999999702,1,8582.0,9193.0,842836.0,9,9,animate,in,in
129,26g5jp57pvqxkau,34,08_a_in_in.mp4,851131.0,1,4363.29999999702,20,6111.29999999702,6541.59999999404,851131.0,9,8,animate,in,in
130,26g5jp57pvqxkau,35,23_p_out_in.mp4,858604.0,100,4023.5,14,5125.80000000447,5719.80000000447,858604.0,9,23,inanimate,out,in
131,26g5jp57pvqxkau,36,16_a_out_out.mp4,872561.0,1,10627.70000000298,87,11820.5,12203.60000000149,872561.0,9,16,animate,out,out
132,26g5jp57pvqxkau,37,15_a_out_out.mp4,901827.0,1,26732.80000000447,91,28585.0,29011.30000000447,901827.0,9,15,animate,out,out
133,26g5jp57pvqxkau,38,22_a_out_in.mp4,910135.0,94,4766.60000000149,90,7648.0,8055.20000000298,910135.0,9,22,animate,out,in
134,26g5jp57pvqxkau,39,14_p_out_out.mp4,982708.0,92,68757.0,7,70141.0,70535.20000000298,982708.0,9,14,inanimate,out,out
135,26g5jp57pvqxkau,40,03_a_in_out.mp4,988717.0,79,4364.10000000149,81,5167.10000000149,5505.4000000059605,988717.0,9,3,animate,in,out
136,26g5jp57pvqxkau,41,14_a_out_out.mp4,995347.0,87,3384.3000000044703,82,4515.70000000298,4876.10000000149,995347.0,9,14,animate,out,out
137,26g5jp57pvqxkau,42,10_p_in_in.mp4,1002812.0,13,4590.19999999553,8,6806.69999999553,7211.89999999851,1002812.0,9,10,inanimate,in,in
138,26g5jp57pvqxkau,43,11_a_in_in.mp4,1022914.0,22,18229.69999999553,80,19451.79999999702,19848.0,1022914.0,9,11,animate,in,in
139,26g5jp57pvqxkau,44,19_p_out_in.mp4,1034683.0,95,8906.5,8,9863.60000000149,10265.79999999702,1034683.0,9,19,inanimate,out,in
140,26g5jp57pvqxkau,45,19_a_out_in.mp4,1045650.0,93,8099.89999999851,13,9186.0,9713.19999999553,1045650.0,9,19,animate,out,in
141,26g5jp57pvqxkau,46,24_p_out_in.mp4,1053104.0,91,4294.10000000149,17,5248.20000000298,6200.30000000447,1053104.0,9,24,inanimate,out,in
142,26g5jp57pvqxkau,47,01_p_in_out.mp4,1068792.0,91,11382.09999999404,13,12830.19999999553,14934.59999999404,1068792.0,9,1,inanimate,in,out
143,26g5jp57pvqxkau,48,16_p_out_out.mp4,1075935.0,7,4151.69999999553,11,5730.0,6140.19999999553,1075935.0,9,16,inanimate,out,out
144,bwm63az1e5flkrd,1,11_p_in_in.mp4,487213.0,100,21632.5,100,30572.700000047684,32187.5,487213.0,11,11,inanimate,in,in
145,bwm63az1e5flkrd,2,11_a_in_in.mp4,536727.0,6,39554.29999995232,100,46541.0,48748.09999990463,536727.0,11,11,animate,in,in
146,bwm63az1e5flkrd,3,01_a_in_out.mp4,600844.0,100,27301.0,100,60897.20000004768,62093.70000004768,600844.0,11,1,animate,in,out
